1;Andrea;Letanovska MUDr. PhD.; primarka oddelenia anesteziologie a intenzivnej mediciny; Bratislava
88;Radovan Huba Bc., student, marketingovy manazer, Prievidza
89;Roderik Weissabel Ing., veduci ekonomickeho useku, Handlova
90;Marek Gehry Ing., uctovnik, Rovinka
91;Miroslav Hudacek, skladnik, Rovinka
92;Peter Valachovic, manazer, Velky Biel
93;Martin Drozd Ing., odbornik na informatizaciu, Prievidza
94;Michal Verchola, technicky pracovnik, Piestany
95;Marta Potocnikova, zdravotna sestra, Spisska Nova Ves
96;Ondrej Cehula Ing., manazer, Nitra
97;Richard Sturmankin Mgr., specialny pedagog Muranska, Dlha Luka
98;Daria Strosova Ing., ekonomka, Topolcany
99;Daniela Majak Cedulova Ing., starostka, Pavlice
100;Peter Stepanek Ing., manazer, Bystricka
101;Anna Habdakova Ing., SZCO, Bratislava
102;Terezia Kadlub Mgr., ucitelka, Hlohovec
103;Lubomir Tuzelak, spravca, udrzbar, Cerveny Klastor
104;Juraj Skalicky, dochodca, Bratislava
105;Jan Vozar JUDr., advokat, Banska Bystrica
106;Jaroslav Kovacs Mgr., projektovy manazer, Tesedikovo
107;Edmund Capak Ing., stavbyveduci, Kosice
108;Juraj Kukucka Ing., dochodca, Zvolen
109;Rastislav Styk Mgr., technical deal manager, Rovinka
110;Monika Szitasi Mgr., pohladavkova analyticka, Gbely
111;Robert Bolfa Ing., manazer nakupu, Nove Zamky
112;Juraj Ondrej, elektrotechnik SZCO, Presov
113;Miroslav Kuchta Ing., pedagog, Prakovce
114;Igor Tkac Mgr., manazer, Presov
115;Slavomir Stasko Ing., referent, Kosice
116;Eva Chuda Ing. MBA, financna analyticka, Bratislava
117;Milos Somorovsky Mgr., pedagog, Trencin
118;Frantisek Moncek Ing., dochodca, Trnava
119;Martin Hurny PhDr., statny zamestnanec, Stropkov
120;Julia Kostolna Ing., poradkyna, SZCO, Kosice
121;Jakub Johanes, student, Trnava
122;Pavol Halas MUDr. MPH., lekar, Jablonka
123;Katarina Fedorova JUDr. PhD., LL.M., pravnicka, vysokoskolska ucitelka, Trnava
124;Zoltan Komlosi Mgr., IT manazer, Nove Zamky
125;Ladislav Brunak Ing., zivnostnik, Kosice
126;Jan Pekar Ing., projektant, Radosovce
127;Jozef Stefcik Mgr. PhD., vysokoskolsky ucitel, Topolcany
128;Viliam Vojtek, projektovy manazer, Ondavske Matiasovce
129;Robert Herda Ing., manazer, Topolcianky
130;Viera Hasidlova Mgr., zivnostnicka, Nemsova
131;Jan Sadibol, dochodca, Nova Bystrica
132;Jan Paukov Ing., manazer, Raztocno
133;Jan Micovsky Ing. CSc. lesnik, protikorupcny aktivista, Humenne
134;Michala Hadusovska Mgr., reziserka, Roznava
135;Ladislav Durkovic PhDr., novinar, obciansky aktivista, Bratislava
136;Julius Stasko Bc., manazer, Kosice
137;Milos Lestak Ing. arch., krajinny architekt, Kosice
138;Stefania Hadusovska, ucitelka, Roznava
139;Vladimir Zajacik, dochodca, Rejdova
140;Elena Patoprsta Ing. arch., Mgr. art., dizajnerka a protikorupcna aktivistka, Bratislava
141;Miroslav Vrabel Mgr.arch., architekt, Bratislava
142;Branislav Kalisky Ing.arch., architekt, Bratislava
143;Juraj Smatana Mgr., ucitel, environmentalista, Povazska Bystrica
144;Martin Ac PhDr., manazer, Modra
145;Jozef Mihal RNDr., autor odbornych publikacii a lektor, Slovensky Grob
146;Milan Kaplan Mgr., poslanec samospravneho kraja, Michalovce
147;Bibiana Kudziova, zivnostnicka, zastupkyna opatrovatelov ,Stropkov
148;Karolina Bortakova Ing., manazerka, Kosice
149;Pavol Boros Ing., podnikatel, Bratislava
150;Lucia Duris Nicholsonova, poslankyna europskeho parlamentu, Bratislava
